"NET Ranking","conferenceId","teamId","Wins","confWins","teamMarket","GP*","ATR2 FGA","ATR2 FGA/G","ATR2 FGA/G %ile","ATR2 FGA%","ATR2 FGA% %ile","ATR2 FG%","ATR2 FG% %ile","PAINT2 FGA","PAINT2 FGA/G","PAINT2 FGA/G %ile","PAINT2 FGA%","PAINT2 FGA% %ile","PAINT2 FG%","PAINT2 FG% %ile","MID2 FGA","MID2 FGA/G","MID2 FGA/G %ile","MID2 FGA%","MID2 FGA% %ile","MID2 FG%","MID2 FG% %ile","ATB3 FGA","ATB3 FGA/G","ATB3 FGA/G %ile","ATB3 FGA%","ATB3 FGA% %ile","ATB3 FG%","ATB3 FG% %ile","C3 FGA","C3 FGA/G","C3 FGA/G %ile","C3 FGA%","C3 FGA% %ile","C3 FG%","C3 FG% %ile","Rim + 3s FGA","Rim + 3s FGA/G","Rim + 3s FGA/G %ile","Rim + 3s FGA%","Rim + 3s FGA% %ile","Rim + 3s eFG%","Rim + 3s eFG% %ile"
"283","2","104454","10","4","Western Mich.","29","523","18.03448","0.44","0.303","0.39","0.5813","0.15","341","11.75862","0.71","0.1976","0.68","0.3812","0.18","239","8.24138","0.8","0.1385","0.79","0.4059","0.83","439","15.13793","0.24","0.2543","0.21","0.3554","0.81","182","6.27586","0.74","0.1054","0.7","0.3462","0.4","1146","39.51724","0.36","0.664","0.24","0.5532","0.42"
"156","88","104453","18","11","Western Ky.","30","538","17.93333","0.43","0.2903","0.29","0.5818","0.15","413","13.76667","0.91","0.2229","0.86","0.3559","0.07","171","5.7","0.46","0.0923","0.39","0.3158","0.14","503","16.76667","0.45","0.2715","0.31","0.3419","0.64","226","7.53333","0.92","0.122","0.87","0.3097","0.13","1269","42.3","0.61","0.6848","0.35","0.5351","0.23"
"364","15","104452","5","1","Western Ill.","28","532","19","0.6","0.3426","0.73","0.5489","0.04","297","10.60714","0.52","0.1912","0.61","0.303","0.01","207","7.39286","0.71","0.1333","0.75","0.3333","0.26","454","16.21429","0.38","0.2923","0.46","0.3062","0.17","62","2.21429","0","0.0399","0","0.3387","0.32","1049","37.46429","0.17","0.6755","0.31","0.5071","0.06"
"225","38","104450","15","10","Western Caro.","29","596","20.55172","0.8","0.3318","0.65","0.6007","0.29","261","9","0.24","0.1453","0.14","0.3831","0.19","205","7.06897","0.68","0.1141","0.61","0.3854","0.68","556","19.17241","0.73","0.3096","0.6","0.3309","0.51","178","6.13793","0.68","0.0991","0.6","0.3483","0.43","1330","45.86207","0.85","0.7405","0.68","0.5466","0.34"
"54","60","104448","21","9","West Virginia","35","548","15.65714","0.17","0.2819","0.23","0.677","0.87","413","11.8","0.72","0.2124","0.8","0.3898","0.24","148","4.22857","0.23","0.0761","0.25","0.3851","0.68","642","18.34286","0.64","0.3302","0.74","0.3287","0.47","192","5.48571","0.51","0.0988","0.6","0.3333","0.28","1383","39.51429","0.36","0.7114","0.51","0.5676","0.63"
"298","1","104444","15","8","West Ga.","30","542","18.06667","0.45","0.2872","0.26","0.6015","0.29","446","14.86667","0.96","0.2364","0.91","0.4372","0.67","277","9.23333","0.87","0.1468","0.83","0.3827","0.66","510","17","0.48","0.2703","0.3","0.3078","0.18","112","3.73333","0.05","0.0594","0.02","0.4375","0.98","1164","38.8","0.28","0.6169","0.07","0.5455","0.32"
"203","61","104434","16","10","Weber St.","30","773","25.76667","0.99","0.4311","1","0.6119","0.42","285","9.5","0.33","0.159","0.28","0.3333","0.02","147","4.9","0.3","0.082","0.28","0.3673","0.52","449","14.96667","0.21","0.2504","0.17","0.3163","0.27","139","4.63333","0.24","0.0775","0.2","0.4388","0.98","1361","45.36667","0.83","0.7591","0.76","0.5713","0.67"
"144","30","104427","12","7","Washington St.","31","527","17","0.31","0.2962","0.34","0.6622","0.8","261","8.41935","0.14","0.1467","0.15","0.4023","0.37","194","6.25806","0.54","0.1091","0.56","0.4227","0.91","670","21.6129","0.92","0.3766","0.94","0.3657","0.89","125","4.03226","0.11","0.0703","0.11","0.368","0.61","1324","42.70968","0.65","0.7442","0.71","0.5933","0.88"
"55","73","104424","16","7","Washington","33","589","17.84848","0.42","0.2903","0.29","0.6706","0.86","494","14.9697","0.96","0.2435","0.94","0.4332","0.63","244","7.39394","0.71","0.1203","0.67","0.4057","0.83","515","15.60606","0.31","0.2538","0.2","0.3126","0.23","187","5.66667","0.56","0.0922","0.45","0.3209","0.18","1291","39.12121","0.31","0.6363","0.11","0.5627","0.55"
"69","53","104413","18","7","Wake Forest","35","539","15.4","0.14","0.2593","0.1","0.666","0.83","416","11.88571","0.74","0.2001","0.71","0.4591","0.83","218","6.22857","0.53","0.1049","0.52","0.3761","0.61","618","17.65714","0.56","0.2973","0.5","0.3382","0.61","287","8.2","0.97","0.138","0.96","0.3449","0.39","1445","41.28571","0.5","0.695","0.41","0.5692","0.65"
